bundle_filename,bundle_extension,size_bytes,sha256,zip_modified_utc,category,canonical_key
GestaltView-Blockchain-Protected-IP-Ledger-️-Keith-Soyka-2025.pdf,.pdf,73890,a6f78c7e1efe5884a93d98edee06f4453228fb18d5fc77c72ec3ed04eae81042,2026-03-10T12:30,companion-original,gestaltview blockchain protected ip ledger keith soyka 2025 pdf
GestaltView_Emergence_December_2025.zip.txt,.txt,444,ab4d8523782a2d7dd0188b93b8a2cea7977c627ea21b24c9dbf0f77e3c9eca53,2026-03-10T12:30,other,gestaltview emergence december 2025 zip txt
13_20250531_113112_0012.png,.png,4230408,4b66c0d5230108e727d593137f5f7e66134e79db19ea9ecf7e118f36d41cbcdf,2026-03-10T12:30,screenshot,13 20250531 113112 0012 png
Screenshot_20250507_123856_Drive.png,.png,653069,bd96a223b745cb7dd7a16cb4c457f6648eed177893125f3fe83a81f3e404d1f5,2026-03-10T12:30,screenshot,screenshot 20250507 123856 drive png
Screenshot_20250507_123921_Drive.png,.png,526083,4bc8c976fe1d9c0d6b78a96746403d1964fad12577b5b1bd1aa861b01599e6e7,2026-03-10T12:30,screenshot,screenshot 20250507 123921 drive png
Screenshot_20250530_214536_Google.png,.png,224377,78a288b958aba851ea452439b9264dcf968da1678e95ce1eaa41bd415b22c162,2026-03-10T12:30,screenshot,screenshot 20250530 214536 google png
Screenshot_20250531_141852_Files by Google.png,.png,81236,ac42c7789640460eaeb6520b5632b1c8d48d68d23e708e30eaedf5d4d7cd855d,2026-03-10T12:30,screenshot,screenshot 20250531 141852 files by google png
Screenshot_20250531_142619_One UI Home.png,.png,138622,e7455b30f5f608c00c0e5b645555d0f8ecf1d4bdef1c89f8724c3c34a20a4259,2026-03-10T12:30,screenshot,screenshot 20250531 142619 one ui home png
Screenshot_20250603_073334_Files by Google.png,.png,212398,17bceb2f525d69705d7559bfbb25f86198df5a66d24f1e35c1d00b02b4bca357,2026-03-10T12:30,screenshot,screenshot 20250603 073334 files by google png
Screenshot_20250605_093638_Chrome.png,.png,217148,45e282a9acbf3d5e960ae9c8f18830f762bde0116ac20ca3193be3224421c7ef,2026-03-10T12:30,screenshot,screenshot 20250605 093638 chrome png
Screenshot_20250605_094436_Files by Google.png,.png,155874,1f53addadd154c817663dd1996c140f399adb32a1ba772d39b2692d3ff7ca222,2026-03-10T12:30,screenshot,screenshot 20250605 094436 files by google png
Screenshot_20250608_192321_Chrome.png,.png,169876,b60e6ce7e8ea6b7842e0aea1c3835812d5f00eb641def7f7dc9361425cf7a1e2,2026-03-10T12:30,screenshot,screenshot 20250608 192321 chrome png
